db_latin_name,vb_normalized,vb_example_names
Lamium maculatum,Lamium maculatum,Lamium maculatum 'Orchid Frost' | Lamium maculatum 'Pink Pewter'
Liatris spicata,Liatris spicata,Liatris spicata
Ligularia dentata,Ligularia dentata,Ligularia dentata 'Osiris Fantaisie' | Ligularia dentata 'Othello'
Liriope spicata,Liriope spicata,Liriope spicata
Lobelia cardinalis,Lobelia cardinalis,Lobelia cardinalis LE
Lobelia siphilitica,Lobelia siphilitica,Lobelia siphilitica
Lysimachia clethroides,Lysimachia clethroides,Lysimachia clethroides
Lysimachia lanceolata,Lysimachia lanceolata,Lysimachia lanceolata v. purpurea
Macleaya microcarpa,Macleaya microcarpa,Macleaya microcarpa 'Kelways Coral Plume'
Malva alcea,Malva alcea,Malva alcea 'Fastigiata'
Malva sylvestris,Malva sylvestris,Malva sylvestris 'Zebrina'
Matteuccia struthiopteris,Matteuccia struthiopteris,Matteuccia struthiopteris
Meehania cordata,Meehania cordata,Meehania cordata
Mertensia virginica,Mertensia virginica,Mertensia virginica
Micranthes virginiensis,Micranthes virginiensis,Micranthes virginiensis LE
Mimulus ringens,Mimulus ringens,Mimulus ringens LE
Mitella diphylla,Mitella diphylla,Mitella diphylla
Monarda fistulosa,Monarda fistulosa,Monarda fistulosa LE
Monarda punctata,Monarda punctata,Monarda punctata
Nipponanthemum nipponicum,Nipponanthemum nipponicum,Nipponanthemum nipponicum
Onoclea sensibilis,Onoclea sensibilis,Onoclea sensibilis
Osmunda claytoniana,Osmunda claytoniana,Osmunda claytoniana
Osmunda regalis,Osmunda regalis,Osmunda regalis
Pachysandra procumbens,Pachysandra procumbens,Pachysandra procumbens
Pachysandra terminalis,Pachysandra terminalis,Pachysandra terminalis 'Green Sheen' | Pachysandra terminalis
Panicum virgatum,Panicum virgatum,Panicum virgatum LE
Penstemon digitalis,Penstemon digitalis,Penstemon digitalis LE
Penstemon hirsutus,Penstemon hirsutus,Penstemon hirsutus LE
Perovskia atriplicifolia,Perovskia atriplicifolia,Perovskia atriplicifolia 'CrazyBlue'
Persicaria amplexicaulis,Persicaria amplexicaulis,Persicaria amplexicaulis 'Speciosa'
Phlox divaricata,Phlox divaricata,Phlox divaricata 'Blue Moon' | Phlox divaricata 'May Breeze'
Phlox stolonifera,Phlox stolonifera,Phlox stolonifera 'Blue Ridge' | Phlox stolonifera 'Sherwood Purple'
Physostegia virginiana,Physostegia virginiana,Physostegia virginiana 'Miss Manners'
Podophyllum peltatum,Podophyllum peltatum,Podophyllum peltatum
Polemonium reptans,Polemonium reptans,Polemonium reptans
Polygonatum biflorum,Polygonatum biflorum,Polygonatum biflorum
Polystichum acrostichoides,Polystichum acrostichoides,Polystichum acrostichoides
Primula japonica,Primula japonica,Primula japonica
Pycnanthemum muticum,Pycnanthemum muticum,Pycnanthemum muticum LE
Pycnanthemum tenuifolium,Pycnanthemum tenuifolium,Pycnanthemum tenuifolium LE
Pycnanthemum virginianum,Pycnanthemum virginianum,Pycnanthemum virginianum LE
Ratibida pinnata,Ratibida pinnata,Ratibida pinnata
Rhus aromatica,Rhus aromatica,Rhus aromatica 'Gro-low'
Rudbeckia fulgida,Rudbeckia fulgida,Rudbeckia fulgida 'Early Bird Gold' | Rudbeckia fulgida 'Goldsturm'
Rudbeckia laciniata,Rudbeckia laciniata,Rudbeckia laciniata LE
Salvia nemorosa,Salvia nemorosa,Salvia nemorosa 'Blue Hill' | Salvia nemorosa 'May Night'
Sanguisorba canadensis,Sanguisorba canadensis,Sanguisorba canadensis
Sanguisorba tenuifolia,Sanguisorba tenuifolia,Sanguisorba tenuifolia var. purpurea
Schizachyrium scoparium,Schizachyrium scoparium,Schizachyrium scoparium
Sibbaldiopsis tridentata,Sibbaldiopsis tridentata,Sibbaldiopsis tridentata LE
Sisyrinchium angustifolium,Sisyrinchium angustifolium,Sisyrinchium angustifolium 'Lucerne' | Sisyrinchium angustifolium LE
Solidago bicolor,Solidago bicolor,Solidago bicolor LE
Solidago caesia,Solidago caesia,Solidago caesia LE
Solidago flexicaulis,Solidago flexicaulis,Solidago flexicaulis LE
Solidago nemoralis,Solidago nemoralis,Solidago nemoralis LE
Solidago odora,Solidago odora,Solidago odora LE
Solidago rugosa,Solidago rugosa,Solidago rugosa LE | Solidago rugosa 'Fireworks'
Solidago sempervirens,Solidago sempervirens,Solidago sempervirens LE
Stokesia laevis,Stokesia laevis,Stokesia laevis 'Omega Skyrocket' | Stokesia laevis 'Blue Danube'
Stylophorum diphyllum,Stylophorum diphyllum,Stylophorum diphyllum
Symphyotrichum cordifolium,Symphyotrichum cordifolium,Symphyotrichum cordifolium LE
Symphyotrichum laeve,Symphyotrichum laeve,Symphyotrichum laeve LE
Symphyotrichum novae-angliae,Symphyotrichum novae-angliae,Symphyotrichum novae-angliae LE
Symphyotrichum novi-belgii,Symphyotrichum novi-belgii,Symphyotrichum novi-belgii LE
Symphyotrichum puniceum,Symphyotrichum puniceum,Symphyotrichum puniceum LE
Thalictrum pubescens,Thalictrum pubescens,Thalictrum pubescens LE
Thelypteris palustris,Thelypteris palustris,Thelypteris palustris
Thermopsis caroliniana,Thermopsis caroliniana,Thermopsis caroliniana
Tiarella cordifolia,Tiarella cordifolia,Tiarella cordifolia | Tiarella cordifolia 'Oakleaf'
Tricyrtis hirta,Tricyrtis hirta,Tricyrtis hirta 'Miyazaki'
Trollius laxus,Trollius laxus,Trollius laxus
Uvularia grandiflora,Uvularia grandiflora,Uvularia grandiflora
Uvularia sessilifolia,Uvularia sessilifolia,Uvularia sessilifolia
Vaccinium macrocarpon,Vaccinium macrocarpon,Vaccinium macrocarpon
Verbena hastata,Verbena hastata,Verbena hastata LE
Verbesina alternifolia,Verbesina alternifolia,Verbesina alternifolia
Vernonia noveboracensis,Vernonia noveboracensis,Vernonia noveboracensis
Veronicastrum virginicum,Veronicastrum virginicum,Veronicastrum virginicum
Vinca minor,Vinca minor,Vinca minor 'Alba' | Vinca minor 'Atropurpurea'
Viola pedata,Viola pedata,Viola pedata | Viola pedata 'Eco Artist Palette'
Viola walteri,Viola walteri,Viola walteri 'Silver Gem'
Xanthorhiza simplicissima,Xanthorhiza simplicissima,Xanthorhiza simplicissima
Zizia aptera,Zizia aptera,Zizia aptera
