Complete Availability,,,,,,,,,,
"WEEK OF SEPTEMBER 14, 2026",,,,,,,,,,
QTY,Plant Name,Size,Price 1,Price 2,Avail,Next Date,Ratings,,,
,Aruncus aethusifolius,2QT,6.08,7.12,312,Sep 21,Retail Foliage,,,
,Aruncus diocus,#1,7.59,9.00,326,,Small Looks Good,,,
,Asarum canadense,1QT,6.03,7.23,1677,,Retail Foliage,,,
,Asclepias incarnata 'Ice Ballet',#1,7.59,9.00,258,,Retail Foliage,,,
,Asclepias incarnata LE,#1,7.59,9.00,509,Oct 5,Fair Foliage,,,
,Asclepias incarnata LE,TRAY 50,85.00,85.00,6,,Ready,,,
,Asclepias syriaca LE,#1,7.59,9.00,20,Sep 21,Fair Foliage,,,
,Asclepias syriaca LE,TRAY 50,85.00,85.00,11,,Ready,,,
,Asclepias tuberosa,#1,7.59,9.00,1993,,Retail Foliage,,,
,Asclepias tuberosa 'Hello Yellow',#1,7.59,9.00,556,,Fair Foliage,,,
,Aster ageratoides 'Ezo Murasaki',#1,7.59,9.00,53,Sep 28,Budded,,,
,Aster alpinus 'Happy End',2QT,6.08,7.12,125,Sep 28,Retail Foliage,,,
,Aster tataricus 'Jindai',TRGA,7.28,8.68,33,,Retail Foliage,,,
,Astilbe 'August Light',#1,7.59,9.00,295,,Budded,,,
,Astilbe ×arendsii 'Bressingham Beauty',#1,6.29,7.38,202,,Retail Foliage,,,
,Astilbe ×arendsii 'Bridal Veil',#1,6.29,7.38,913,,Retail Foliage,,,
,Astilbe ×arendsii 'Chocolate Shogun',#1,8.68,10.30,360,,Retail Foliage,,,
,Astilbe 'Delft Lace',#1,7.59,9.00,100,,Retail Foliage,,,
,Astilbe 'Deutschland',#1,7.59,9.00,924,,Retail Foliage,,,
,Astilbe ×arendsii 'Fanal',#1,6.29,7.38,1082,,Retail Foliage,,,
,Astilbe 'Hennie Graafland',#1,6.29,7.38,863,,Retail Foliage,,,
,Astilbe 'Ostrich Plume',#1,6.29,7.38,239,,Retail Foliage,,,
,Astilbe 'Peach Blossom',#1,7.59,9.00,377,,Small Looks Good,,,
,Astilbe 'Prof. van der Wielen',#1,6.29,7.38,92,,Retail Foliage,,,
,Astilbe 'Red Sentinel',#1,6.29,7.38,810,,Blooming,,,
,Astilbe 'Snowdrift',#1,6.29,7.38,581,,Retail Foliage,,,
,Astilbe Younique™ 'Cerise',#1,7.59,9.00,374,,Retail Foliage,,,
,Astilbe Younique™ 'Silvery Pink',#1,7.59,9.00,233,,Retail Foliage,,,
,Astilbe ×arendsii 'Color Flash®',#1,7.59,9.00,368,,Budded,,,
,Astilbe biternata,#1,8.68,10.30,108,Sep 21,Retail Foliage,,,
,Astilbe chinensis 'Milk and Honey',#1,7.59,9.00,368,,Retail Foliage,,,
,Astilbe chinensis 'Pumila',#1,8.68,10.30,696,,Retail Foliage,,,
,Astilbe chinensis 'Purple Candle',#1,7.59,9.00,587,,Budded,,,
,Astilbe 'Vision in Pink',#1,7.59,9.00,441,,Bud & Bloom,,,
,Astilbe 'Vision in Red',#1,7.59,9.00,1560,,Bud & Bloom,,,
,Astilbe 'Vision in White',#1,6.29,7.38,149,,Retail Foliage,,,
,Astilbe 'Vision in White Delight',#1,7.59,9.00,41,,Fair Foliage,,,
,Astilbe soft pink,#1,6.29,7.38,6,,Fair Foliage,,,
,Astilboides tabularis,TRGA,9.36,11.18,450,,Retail Foliage,,,
,Astrantia major 'Roma',#1,8.68,10.30,165,,Retail Foliage,,,
,Astrantia major 'Star of Beauty',#1,8.68,10.30,110,,Fair Foliage,,,
,Astrantia major 'Star of Love',#1,8.68,10.30,34,,Retail Foliage,,,
,Aurinia saxatilis 'Compacta',2QT,6.08,7.12,749,,Retail Foliage,,,
,Baptisia  'American Goldfinch',TRGA,10.50,12.53,207,,Retail Foliage,,,
,Baptisia 'Honey Roasted',TRGA,10.50,12.53,103,,Fair Foliage,,,
,Baptisia Prairieblues™ 'Twilite',#1,8.68,10.30,318,,Retail Foliage,,,
X,Baptisia australis,#1,7.59,9.00,0,Sep 21,,,,
,Bergenia Dragonfly™ 'Sakura',#1,7.59,9.00,358,Sep 21,Retail Foliage,,,
,Bergenia cord. 'Winterglut',#1,6.29,7.38,149,Sep 28,Retail Foliage,,,
,Boltonia asteroides 'Snowbank',TRGA,7.28,8.68,202,,Small Looks Good,,,
,Brunnera macrophylla 'Jack Frost',#1,8.68,10.30,239,,Retail Foliage,,,
,Brunnera macrophylla,#1,7.59,9.00,665,,Retail Foliage,,,
,Calamintha nepeta 'White Cloud',#1,6.29,7.38,196,,Small Looks Good,,,
,Calamintha nepeta ssp. nepeta,#1,6.29,7.38,191,,Retail Foliage,,,
,Callirhoe involucrata,2QT,7.44,8.79,220,,Retail Foliage,,,
,Caltha palustris,2QT,7.44,8.79,2501,,Retail Foliage,,,
,Campanula 'Birch Hybrid',2QT,6.08,7.12,278,,Retail Foliage,,,
,Campanula 'Pink Octopus',#1,7.59,9.00,201,Sep 28,Retail Foliage,,,
,Campanula carpatica 'Rapido Blue',2QT,6.08,7.12,563,,Retail Foliage,,,
,Campanula carpatica 'White Pearl',2QT,6.08,7.12,402,,Small Looks Good,,,
,Campanula persicifolia 'Telham Beauty',#1,6.29,7.38,374,,Retail Foliage,,,
X,Campanula 'Camgood' (Blue Waterfall),2QT,7.44,8.79,0,Sep 28,,,,
,Campanula rotundifolia 'Olympica',2QT,7.44,8.79,39,Sep 21,Cut Back,,,
,Campanula  'Elizabeth',#1,6.29,7.38,136,,Retail Foliage,,,
,Caryopteris x clandonensis 'Dark Knight',TRGA,8.32,9.93,170,,Bud & Bloom,,,
,Centaurea atropurpurea,#1,6.29,7.38,209,,Small Looks Good,,,
,Centaurea orientalis,#1,6.29,7.38,336,,Small Looks Good,,,
,Centaurea orientalis,TRGA,7.28,8.68,44,,Fair Foliage,,,
,Centranthus ruber 'Coccineus',#1,6.29,7.38,39,,Fair Foliage,,,
,Cerastium tomentosum,2QT,6.08,7.12,505,,Retail Foliage,,,
,Ceratostigma plumbaginoides,2QT,7.44,8.79,160,,Retail Foliage,,,
,Chamerion angustifolium LE,#1,7.59,9.00,354,Sep 21,Bud & Bloom,,,
,Chamerion angustifolium LE,TRAY 50,85.00,85.00,13,,Ready,,,
X,Chelone glabra LE,#1,7.59,9.00,0,Oct 5,,,,
,Chelone glabra 'Black Ace',#1,7.59,9.00,223,Sep 28,Budded,,,
,Chelone glabra LE,TRAY 50,85.00,85.00,42,,Ready,,,
,Chelone lyonii 'Hot Lips',#1,6.29,7.38,443,,Bud & Bloom,,,
,Chrysanthemum 'Clara Curtis',#1,6.29,7.38,214,,Bud & Bloom,,,
,Chrysanthemum 'Sheffield',#1,6.29,7.38,435,,Retail Foliage,,,
X,Chrysogonum virginianum,2QT,7.44,8.79,0,Sep 21,,,,
,Clematis integrifolia Mongolian Bells®,#1,6.29,7.38,308,,Fair Foliage,,,
,Clematis virginiana LE,#1,7.59,9.00,417,Oct 5,Retail Foliage,,,
,Clematis virginiana LE,TRAY 50,85.00,85.00,16,,Ready,,,
,Clerodendron trichotomum,#1,8.68,10.30,6,,Small Looks Good,,,
,Comptonia peregrina,2QT,8.48,10.04,1591,,Retail Foliage,,,
,Conoclinium coelestinum,TRGA,7.28,8.68,146,,Bud & Bloom,,,
,Convallaria majalis,1QT,4.11,4.84,7392,,Small Looks Good,,,
,Convallaria majalis 'Prolificans',1QT,5.04,5.93,2699,,Fair Foliage,,,
,Convallaria majalis 'Rosea',1QT,6.03,7.23,216,,Fair Foliage,,,
,Coreopsis 'Crème Brulee',#1,6.29,7.38,142,,Small Looks Good,,,
,Coreopsis 'Gilded Lace',#1,7.59,9.00,123,,Leafing Out,,,
,Coreopsis 'Jethro Tull',#1,6.29,7.38,135,,Cut Back,,,
,Coreopsis PermaThread™ 'Red Satin',#1,7.59,9.00,51,,Budded,,,
,Coreopsis auriculata 'Nana',2QT,6.08,7.12,218,,Retail Foliage,,,
,Coreopsis tripteris 'Gold Standard',#1,8.68,10.30,214,Sep 28,Bud & Bloom,,,
X,Coreopsis verticillata 'Moonbeam',#1,6.29,7.38,0,Sep 28,,,,
,Coreopsis verticillata 'Zagreb',#1,6.29,7.38,389,,Bud & Bloom,,,
,Corydalis lutea,2QT,7.44,8.79,195,,Small Looks Good,,,
,Crambe maritima,#1,7.59,9.00,136,Sep 28,Fair Foliage,,,
,Dalea purpurea,2QT,7.44,8.79,623,,Small Looks Good,,,
,Darmera peltata,TRGA,9.36,11.18,203,,Fair Foliage,,,
